Tweet,Label
aaa kakk dah vaksin pulang mam minum obat darah dah darah,Setuju Vaksin
aaa tempat vaksin pulang,Setuju Vaksin
abis dpt vaksin sekolah ajar ptm ya nggak daring lg ya,Setuju Vaksin
abis vaksin,Setuju Vaksin
abis vaksin bawa ngantuk,Setuju Vaksin
abis vaksin bknny lmes mlh hyperactive curiga td disuntikny bantu dana bos,Setuju Vaksin
abis vaksin bole minum boba ga sih,Setuju Vaksin
abis vaksin cinta,Setuju Vaksin
abis vaksin dosis imun kuat bersin mulu duuh,Setuju Vaksin
abis vaksin gak titan,Setuju Vaksin
abis vaksin gel banget dah tangan,Setuju Vaksin
abis vaksin lemes banget,Setuju Vaksin
abis vaksin masuk malem mending tidur yay or nay,Setuju Vaksin
abis vaksin trs rehat dlu yaa,Setuju Vaksin
abis vaksin udh ngerasa lemes yah,Setuju Vaksin
aceh tenggara tambah vaksin,Setuju Vaksin
adek gue daftar vaksin kampus jam sampe skrg antre krn acak ga no antri,Setuju Vaksin
admin maaf program vaksinasi sms besok tanggal november buka jam ya tgl okt vaksin dosis jadwal nya vaksin dosis besok tgl november tp diberitahukan tq,Setuju Vaksin
agen berangkat ya langsung cuman keluarga tau nih vaksin macem,Setuju Vaksin
ah anjir lupa donlot apk peduli ap gt bwat dta vaksin,Setuju Vaksin
aja minimal kali vaksin masuk monas pake pedulilindungi,Setuju Vaksin
aja selesai vaksin pfizer dosis moga ga gejala efek aneh deh entar w report jam vaksin,Setuju Vaksin
aja selesai vaksin pusing ya,Setuju Vaksin
ajar perlu mohon daftar fizikal takluk ajar lengkap dos vaksin lepas tempoh kesan smp sekian harap maklum,Setuju Vaksin
ak dah periksa udah done vaksin tu pas lihat kartu vaksin kaga,Setuju Vaksin
ak habis vaksin tangan copot,Setuju Vaksin
ak mlh tepar bgt abis vaksin,Setuju Vaksin
ak vaksin ga nng sekul,Setuju Vaksin
akan tdk rela merck rilis molnupiravir tx covid pfizer ijin fda approved obat anti virus nama paxlovid yg klaim kurang resiko hospital saham vaksin anjlok molnupiravir pfizer coba rilis obat antivirus,Tidak Setuju
alhamdulillah org da boosters vaksin ak complete nd dose hahaha,Setuju Vaksin
alhamdulillah sragen nihil tambah positif covid cakup vaksin juta,Setuju Vaksin
alia mager vaksin,Tidak Setuju
ampuh nurunin demam habis vaksin kemaren minum ampuh dah laku lu emang aja,Setuju Vaksin
aneh banget dah orang vaksin nya sinovac kartu nya moderna,Setuju Vaksin
